SPECIES,ORGANIZATION,HAUL_NO,DATE,LOCATION,SAMPLE_NO,NUM_INDIVIDUALS,LENGTH(mm),WET_WEIGHT(g),DRY_WEIGHT(g),WATER_CONTENT(%mass),ASH_WEIGHT(g),ASH_WEIGHT(%WW),AFDW(g),AVERAGE_AFDW(g),AVERAGE_ASH_WEIGHT(%WW),"WATER_CONTENT(%mass,AFDW)"
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,1,52,16.36,2.2114,0.5813,0.7371348467,0.087,0.03934159356,0.4943,0.36682,0.03945260621,0.7764764403
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,2,52,16.24,2.1979,0.586,0.7333818645,0.0891,0.04053869603,0.4969,0.36682,0.03945260621,0.7739205605
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,3,38,17.04,2.0474,0.364,0.8222135391,0.0834,0.04073459021,0.2806,0.36682,0.03945260621,0.8629481293
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,4,34,17.69,2.0544,0.3562,0.8266160436,0.0782,0.03806464174,0.278,0.36682,0.03945260621,0.8646806854
E. pacifica/ T. spinifera,NOAA,6,4/29/2021,NAVARRO,5,40,18.3,2.0812,0.3646,0.8248126081,0.0803,0.03858350951,0.2843,0.36682,0.03945260621,0.8633961176
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,1,23,20.64,2.457,0.6782,0.723972324,0.0929,0.03781033781,0.5853,0.42656,0.03812780415,0.7617826618
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,2,21,20.16,2.1617,0.6082,0.7186473609,0.0831,0.03844196697,0.5251,0.42656,0.03812780415,0.7570893278
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,3,15,21.18,2.0196,0.4283,0.7879283026,0.077,0.03812636166,0.3513,0.42656,0.03812780415,0.8260546643
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,4,19,19.6,2.0663,0.3983,0.8072399942,0.0788,0.03813579829,0.3195,0.42656,0.03812780415,0.8453757925
E. pacifica/ T. spinifera,NOAA,9,5/1/2021,FARALLONES,5,20,21.29,2.1115,0.4321,0.7953587497,0.0805,0.038124556,0.3516,0.42656,0.03812780415,0.8334833057
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,1,44,16.64,2.1025,0.4521,0.7849702735,0.0788,0.03747919144,0.3733,0.3172,0.03734981165,0.8224494649
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,2,46,16.74,2.2168,0.4766,0.7850054132,0.0825,0.03721580657,0.3941,0.3172,0.03734981165,0.8222212198
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,3,38,16.04,2.12,0.3098,0.8538679245,0.0792,0.03735849057,0.2306,0.3172,0.03734981165,0.8912264151
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,4,40,16.98,2.0308,0.3516,0.8268662596,0.0758,0.03732519204,0.2758,0.3172,0.03734981165,0.8641914516
E. pacifica/ T. spinifera,NOAA,28,5/5/2021,POINT SUR,5,36,17.46,2.0444,0.3886,0.8099197809,0.0764,0.03737037762,0.3122,0.3172,0.03734981165,0.8472901585
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,1,39,18.2,2.4619,0.5524,0.7756204557,0.086,0.03493236931,0.4664,0.39414,0.03510215566,0.8105528251
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,2,42,18.35,2.94,0.6696,0.772244898,0.1017,0.03459183673,0.5679,0.39414,0.03510215566,0.8068367347
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,3,31,17.3,2.1601,0.411,0.809731031,0.0751,0.03476690894,0.3359,0.39414,0.03510215566,0.8444979399
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,4,27,18.1,2.001,0.3888,0.8056971514,0.0696,0.0347826087,0.3192,0.39414,0.03510215566,0.8404797601
E. pacifica/ T. spinifera,NOAA,48,5/11/2021,PIEDRAS BLANCAS,5,28,17.3,2.105,0.358,0.8299287411,0.0767,0.03643705463,0.2813,0.39414,0.03510215566,0.8663657957
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,1,21,20.11,2.2678,0.6884,0.6964458947,0.0822,0.03624658259,0.6062,0.5902,0.03654313033,0.7326924773
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,2,21,20.43,2.2824,0.7003,0.6931738521,0.0838,0.03671573782,0.6165,0.5902,0.03654313033,0.7298895899
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,3,20,20.83,2.0608,0.6718,0.6740100932,0.0754,0.03658773292,0.5964,0.5902,0.03654313033,0.7105978261
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,4,20,21.29,2.0005,0.6607,0.6697325669,0.0732,0.03659085229,0.5875,0.5902,0.03654313033,0.7063234191
E. pacifica/ T. spinifera,NOAA,67,5/22/2021,FARALLONES,5,18,20.97,2.067,0.62,0.7000483793,0.0756,0.03657474601,0.5444,0.5902,0.03654313033,0.7366231253
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,1,47,16.9,2.1621,0.5459,0.747513991,0.0721,0.03334720873,0.4738,0.42538,0.03376353316,0.7808611998
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,2,42,16.99,2.1281,0.5396,0.7464404868,0.0727,0.03416192848,0.4669,0.42538,0.03376353316,0.7806024153
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,3,40,16.56,2.047,0.4821,0.7644846116,0.0691,0.03375671715,0.413,0.42538,0.03376353316,0.7982413288
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,4,34,18.13,2.0222,0.4091,0.7976955791,0.0683,0.03377509643,0.3408,0.42538,0.03376353316,0.8314706755
E. pacifica/ T. spinifera,NOAA,72,5/24/2021,FALSE CAPE,5,41,16.9,2.0073,0.5002,0.7508095452,0.0678,0.03377671499,0.4324,0.42538,0.03376353316,0.7845862602
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,1,22,20.11,2.093,0.5072,0.7576684185,0.0643,0.03072145246,0.4429,0.45944,0.03131297601,0.788389871
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,2,24,21.08,2.0836,0.5097,0.755375312,0.0665,0.03191591476,0.4432,0.45944,0.03131297601,0.7872912267
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,3,17,20.29,2.1222,0.5641,0.7341909339,0.0665,0.03133540665,0.4976,0.45944,0.03131297601,0.7655263406
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,4,22,19.01,2.1345,0.5531,0.7408760834,0.0668,0.03129538534,0.4863,0.45944,0.03131297601,0.7721714687
E. pacifica/ T. spinifera,NOAA,76,5/24/2021,FLINT ROCK HEAD,5,20,19.47,2.0066,0.49,0.7558058407,0.0628,0.03129672082,0.4272,0.45944,0.03131297601,0.7871025615
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,1,45,17.44,2.0561,0.4869,0.7631924517,0.0701,0.03409367249,0.4168,0.41888,0.03374831697,0.7972861242
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,2,45,18.06,2.1225,0.4828,0.772532391,0.071,0.03345111896,0.4118,0.41888,0.03374831697,0.80598351
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,3,40,16.59,2.123,0.4669,0.780075365,0.0717,0.03377296279,0.3952,0.41888,0.03374831697,0.8138483278
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,4,44,17.33,2.0727,0.4673,0.7745452791,0.07,0.0337723742,0.3973,0.41888,0.03374831697,0.8083176533
E. pacifica/ T. spinifera,NOAA,94,5/30/2021,NWC STATION,5,47,16.55,2.0118,0.541,0.7310865891,0.0677,0.03365145641,0.4733,0.41888,0.03374831697,0.7647380455
E. pacifica/ T. spinifera,NOAA,192,7/11/2022,DAVENPORT,1,77,13.3,2.2704,0.449,0.8022374912,0.1021,0.04497004933,0.3469,0.3451,0.04152368885,0.8472075405
E. pacifica/ T. spinifera,NOAA,192,7/11/2022,DAVENPORT,2,82,12.07,2.2495,0.4369,0.805779062,0.103,0.04578795288,0.3339,0.3451,0.04152368885,0.8515670149
E. pacifica/ T. spinifera,NOAA,192,7/11/2022,DAVENPORT,3,80,12.31,2.23,0.4211,0.8111659193,0.0754,0.03381165919,0.3457,0.3451,0.04152368885,0.8449775785
E. pacifica/ T. spinifera,NOAA,192,7/11/2022,DAVENPORT,4,79,13.1,2.2455,0.413,0.8160765976,0.0932,0.04150523269,0.3198,0.3451,0.04152368885,0.8575818303
E. pacifica/ T. spinifera,NOAA,192,7/11/2022,DAVENPORT,5,81,12.98,2.2675,0.4734,0.7912238148,0.0942,0.04154355017,0.3792,0.3451,0.04152368885,0.8327673649
E. mordax,CDFW,1,9/15/2021,DEL MONTE BEACH,1,1,107.93,9.9602,3.0073,0.6980683119,0.3535,0.0354912552,2.6538,3.47058,0.03612961842,0.7335595671
E. mordax,CDFW,1,9/15/2021,DEL MONTE BEACH,2,1,128.8,16.6027,5.7485,0.6537611352,0.5547,0.03341022846,5.1938,3.47058,0.03612961842,0.6871713637
E. mordax,CDFW,1,9/15/2021,DEL MONTE BEACH,3,1,116.82,8.6287,2.4384,0.7174081843,0.327,0.03789678631,2.1114,3.47058,0.03612961842,0.7553049706
E. mordax,CDFW,1,9/15/2021,DEL MONTE BEACH,4,1,117.11,11.5397,3.4387,0.7020113175,0.4408,0.03819856669,2.9979,3.47058,0.03612961842,0.7402098841
E. mordax,CDFW,1,9/15/2021,DEL MONTE BEACH,5,1,135.63,14.9588,4.9293,0.6704749044,0.5333,0.03565125545,4.396,3.47058,0.03612961842,0.7061261599
E. mordax,CDFW,1,5/24/2022,SEASIDE,1,1,144.64,21.104,4.856,0.7699014405,0.6961,0.03298426839,4.1599,4.45288,0.02694378612,0.8028857089
E. mordax,CDFW,1,5/24/2022,SEASIDE,2,1,119.66,15.4257,5.421,0.6485734845,0.415,0.02690315512,5.006,4.45288,0.02694378612,0.6754766396
E. mordax,CDFW,1,5/24/2022,SEASIDE,3,1,122.13,14.8677,5.9704,0.5984314992,0.2934,0.01973405436,5.677,4.45288,0.02694378612,0.6181655535
E. mordax,CDFW,1,5/24/2022,SEASIDE,4,1,124.96,13.0105,3.888,0.7011644441,0.3177,0.02441873871,3.5703,4.45288,0.02694378612,0.7255831828
E. mordax,CDFW,1,5/24/2022,SEASIDE,5,1,140.02,17.6083,4.3914,0.7506062482,0.5402,0.03067871402,3.8512,4.45288,0.02694378612,0.7812849622
E. mordax,CDFW,1,6/23/2022,MARINA,1,1,129.42,15.602,5.2614,0.6627740033,0.4471,0.02865658249,4.8143,4.699975,0.03065739831,0.6914305858
E. mordax,CDFW,1,6/23/2022,MARINA,2,1,131.49,15.3989,5.0779,0.6702426797,0.4595,0.02983979375,4.6184,4.699975,0.03065739831,0.7000824734
E. mordax,CDFW,1,6/23/2022,MARINA,3,1,133.37,18.7279,6.2149,0.6681475232,0.5562,0.02969900523,5.6587,4.699975,0.03065739831,0.6978465284
E. mordax,CDFW,1,6/23/2022,MARINA,4,1,131.41,12.8564,4.1512,0.677110233,0.4427,0.03443421175,3.7085,4.699975,0.03065739831,0.7115444448
E. mordax,CDFW,1,7/12/2022,PT. PIÑOS,1,1,130.55,16.9843,4.8723,0.713129184,0.4203,0.02474638342,4.452,5.89755,0.02434822199,0.7378755674
E. mordax,CDFW,1,7/12/2022,PT. PIÑOS,2,1,140.43,20.8893,7.8434,0.6245254748,0.5003,0.02395006056,7.3431,5.89755,0.02434822199,0.6484755353
E. mordax,B. BURFORD,1,9/18/2019,HOPKINS,1,1,117.95,13.0733,4.652,0.644160235,0.4075,0.03117040074,4.2445,3.8869,0.03258619074,0.6753306357
E. mordax,B. BURFORD,1,9/18/2019,HOPKINS,2,1,113.47,12.0605,4.4279,0.6328593342,0.4408,0.03654906513,3.9871,3.8869,0.03258619074,0.6694083993
E. mordax,B. BURFORD,1,9/18/2019,HOPKINS,3,1,117.92,14.1696,4.9088,0.6535682023,0.4193,0.02959151987,4.4895,3.8869,0.03258619074,0.6831597222
E. mordax,B. BURFORD,1,9/18/2019,HOPKINS,4,1,117.16,10.1037,2.6224,0.7404515178,0.3768,0.0372932688,2.2456,3.8869,0.03258619074,0.7777447866
E. mordax,B. BURFORD,1,9/18/2019,HOPKINS,5,1,114.83,12.7371,4.8286,0.6209027173,0.3608,0.02832669917,4.4678,3.8869,0.03258619074,0.6492294164
S. sagax,CDFW,1,5/10/2022,PACIFIC GROVE,1,1,185.03,60.244,18.5395,0.6922598101,1.6362,0.02715955116,16.9033,15.72896667,0.02795972991,0.7194193613
S. sagax,CDFW,1,5/10/2022,PACIFIC GROVE,2,1,191.68,66.978,17.1508,0.743933829,1.8727,0.02795992714,15.2781,15.72896667,0.02795972991,0.7718937562
S. sagax,CDFW,1,5/10/2022,PACIFIC GROVE,3,1,187.86,57.664,16.6639,0.7110172725,1.6584,0.02875971143,15.0055,15.72896667,0.02795972991,0.7397769839
S. sagax,CDFW,1,7/14/2022,MOSS LANDING,1,1,149.58,31.5932,9.7954,0.6899522682,0.9676,0.03062684375,8.8278,12.03858,0.03263192023,0.720579112
S. sagax,CDFW,1,7/14/2022,MOSS LANDING,2,1,178.61,51.4924,15.7956,0.6932440515,1.8445,0.03582082016,13.9511,12.03858,0.03263192023,0.7290648717
S. sagax,CDFW,1,7/14/2022,MOSS LANDING,3,1,171.9,33.8279,13.1262,0.6119711835,1.2052,0.03562739632,11.921,12.03858,0.03263192023,0.6475985799
S. sagax,CDFW,1,7/14/2022,MOSS LANDING,4,1,164.5,53.8015,16.6768,0.6900309471,1.3088,0.0243264593,15.368,12.03858,0.03263192023,0.7143574064
S. sagax,CDFW,1,7/14/2022,MOSS LANDING,5,1,154.5,30.192,11.2348,0.6278881823,1.1098,0.03675808161,10.125,12.03858,0.03263192023,0.6646462639
S. sagax,CDFW,1,6/29/2022,N. MONTEREY BAY,1,1,222.5,79.275,24.7806,0.68740965,2.5821,0.03257142857,22.1985,22.1985,0.03257142857,0.7199810785
S. sagax,CDFW,1,6/28/2022,MOSS LANDING,1,1,150.13,37.8299,10.8789,0.7124258853,1.0961,0.02897443557,9.7828,8.44375,0.0290854902,0.7414003209
S. sagax,CDFW,1,6/28/2022,MOSS LANDING,2,1,146.25,27.2635,7.9007,0.7102096209,0.796,0.02919654483,7.1047,8.44375,0.0290854902,0.7394061658
S. sagax,CDFW,1,8/3/2022,NW MOSS LANDING,1,1,175.01,43.9387,13.7128,0.6879106573,1.224,0.02785699167,12.4888,10.9169,0.03144708639,0.715767649
S. sagax,CDFW,1,8/3/2022,NW MOSS LANDING,2,1,181.44,55.3883,18.9115,0.658565076,1.77,0.03195620736,17.1415,10.9169,0.03144708639,0.6905212834
S. sagax,CDFW,1,8/3/2022,NW MOSS LANDING,3,1,132.35,17.8802,4.6775,0.7383977808,0.6222,0.03479826848,4.0553,10.9169,0.03144708639,0.7731960493
S. sagax,CDFW,1,8/3/2022,NW MOSS LANDING,4,1,175.31,43.3402,14.6115,0.6628649614,1.2901,0.02976682157,13.3214,10.9169,0.03144708639,0.692631783
S. sagax,CDFW,1,8/3/2022,NW MOSS LANDING,5,1,152.84,28.35,8.509,0.6998589065,0.9315,0.03285714286,7.5775,10.9169,0.03144708639,0.7327160494
S. sagax,CDFW,1,7/6/2022,MARINA PIPELINE,1,1,221.7,96.8643,43.0711,0.555345984,2.477,0.02557185671,40.5941,31.3894,0.03252877554,0.5809178407
S. sagax,CDFW,1,7/6/2022,MARINA PIPELINE,2,1,172.8,44.0785,19.0851,0.5670202026,2.6817,0.06083918464,16.4034,31.3894,0.03252877554,0.6278593872
S. sagax,CDFW,1,7/6/2022,MARINA PIPELINE,3,1,225.01,85.2521,37.926,0.5551311932,1.2187,0.01429524903,36.7073,31.3894,0.03252877554,0.5694264423
S. sagax,CDFW,1,7/6/2022,MARINA PIPELINE,4,1,225.98,90.6286,33.6684,0.6285013782,2.8966,0.03196121313,30.7718,31.3894,0.03252877554,0.6604625913
S. sagax,CDFW,1,7/6/2022,MARINA PIPELINE,5,1,213.04,83.4257,34.9712,0.5808102299,2.5008,0.02997637419,32.4704,31.3894,0.03252877554,0.6107866041
S. sagax,B. BURFORD,1,9/18/2019,HOPKINS,1,1,173.8,44.0898,16.1102,0.6346048292,1.0808,0.02451360632,15.0294,12.8686,0.02889425214,0.6591184356
S. sagax,B. BURFORD,1,9/18/2019,HOPKINS,2,1,155.15,39.0745,12.008,0.6926896058,1.3002,0.03327489795,10.7078,12.8686,0.02889425214,0.7259645037
D. opalescens,CDFW,1,7/14/2022,MOSS LANDING,1,1,115.32,27.8803,6.7991,0.7561324663,0.426,0.01527960603,6.3731,6.13652,0.01526686893,0.7714120723
D. opalescens,CDFW,1,7/14/2022,MOSS LANDING,2,1,103.82,29.7076,7.5381,0.7462568501,0.4639,0.01561553273,7.0742,6.13652,0.01526686893,0.7618723828
D. opalescens,CDFW,1,7/14/2022,MOSS LANDING,3,1,111.41,28.8451,6.6841,0.7682760677,0.4408,0.01528162496,6.2433,6.13652,0.01526686893,0.7835576926
D. opalescens,CDFW,1,7/14/2022,MOSS LANDING,4,1,109.22,26.137,5.6613,0.7833990129,0.3893,0.01489459387,5.272,6.13652,0.01526686893,0.7982936068
D. opalescens,CDFW,1,7/14/2022,MOSS LANDING,5,1,103.62,25.8796,6.115,0.7637135041,0.395,0.01526298706,5.72,6.13652,0.01526686893,0.7789764911
D. opalescens,CDFW,1,6/29/2022,N. MONTEREY BAY,1,1,114.29,25.1126,5.8404,0.7674314886,0.3479,0.01385360337,5.4925,6.65356,0.01382803942,0.7812850919
D. opalescens,CDFW,1,6/29/2022,N. MONTEREY BAY,2,1,101.12,36.5506,10.8149,0.7041115604,0.5065,0.01385750166,10.3084,6.65356,0.01382803942,0.7179690621
D. opalescens,CDFW,1,6/29/2022,N. MONTEREY BAY,3,1,125.41,39.8779,9.4173,0.7638466419,0.5556,0.01393252904,8.8617,6.65356,0.01382803942,0.7777791709
D. opalescens,CDFW,1,6/29/2022,N. MONTEREY BAY,4,1,81.44,9.8153,2.3189,0.7637463959,0.1339,0.01364196713,2.185,6.65356,0.01382803942,0.7773883631
D. opalescens,CDFW,1,6/29/2022,N. MONTEREY BAY,5,1,103.5,25.3129,6.7709,0.7325118813,0.3507,0.01385459588,6.4202,6.65356,0.01382803942,0.7463664772
D. opalescens,CDFW,1,7/6/2022,MARINA PIPELINE,1,1,104.48,25.0946,6.6268,0.7359272513,0.3309,0.01318610378,6.2959,7.40962,0.01354672437,0.7491133551
D. opalescens,CDFW,1,7/6/2022,MARINA PIPELINE,2,1,112.38,33.7635,8.4196,0.7506301183,0.488,0.01445347787,7.9316,7.40962,0.01354672437,0.7650835962
D. opalescens,CDFW,1,7/6/2022,MARINA PIPELINE,3,1,113.84,18.607,4.7326,0.7456548611,0.2788,0.01498360832,4.4538,7.40962,0.01354672437,0.7606384694
D. opalescens,CDFW,1,7/6/2022,MARINA PIPELINE,4,1,129.58,44.3324,10.9426,0.7531692397,0.5089,0.01147918904,10.4337,7.40962,0.01354672437,0.7646484287
D. opalescens,CDFW,1,7/6/2022,MARINA PIPELINE,5,1,119.62,32.9317,8.382,0.7454732067,0.4489,0.01363124285,7.9331,7.40962,0.01354672437,0.7591044495
D. opalescens,CDFW,1,8/3/2022,NW MOSS LANDING,1,1,102.02,23.5609,6.1034,0.7409521708,0.344,0.01460046093,5.7594,7.93864,0.0130011273,0.7555526317
D. opalescens,CDFW,1,8/3/2022,NW MOSS LANDING,2,1,112.4,36.0794,7.2304,0.7995975543,0.4401,0.01219809642,6.7903,7.93864,0.0130011273,0.8117956507
D. opalescens,CDFW,1,8/3/2022,NW MOSS LANDING,3,1,120,44.0213,10.1034,0.7704883772,0.6011,0.01365475349,9.5023,7.93864,0.0130011273,0.7841431307
D. opalescens,CDFW,1,8/3/2022,NW MOSS LANDING,4,1,110.43,33.044,7.1102,0.7848262922,0.4391,0.01328834282,6.6711,7.93864,0.0130011273,0.798114635
D. opalescens,CDFW,1,8/3/2022,NW MOSS LANDING,5,1,115.57,48.9081,11.521,0.7644357479,0.5509,0.01126398286,10.9701,7.93864,0.0130011273,0.7756997307
D. opalescens,CDFW,1,5/10/2022,PACIFIC GROVE,1,1,130.29,43.3301,6.5849,0.8480294299,0.2492,0.005751198359,6.3357,7.95095,0.009317245593,0.8537806282
D. opalescens,CDFW,1,5/10/2022,PACIFIC GROVE,2,1,121.55,38.678,10.0645,0.7397874761,0.4983,0.01288329283,9.5662,7.95095,0.009317245593,0.7526707689
D. opalescens,CDFW,1,,MID MONTEREY BAY,1,1,100.33,24.2135,5.5953,0.7689181655,0.2415,0.00997377496,5.3538,8.29464,0.0132556065,0.7788919404
D. opalescens,CDFW,1,,MID MONTEREY BAY,2,1,103.53,25.7315,6.3553,0.7530147873,0.3705,0.01439869421,5.9848,8.29464,0.0132556065,0.7674134815
D. opalescens,CDFW,1,,MID MONTEREY BAY,3,1,124.43,48.7812,11.8516,0.7570457471,0.6464,0.01325100654,11.2052,8.29464,0.0132556065,0.7702967537
D. opalescens,CDFW,1,,MID MONTEREY BAY,4,1,117.22,39.7989,10.7006,0.7311332725,0.5843,0.01468131029,10.1163,8.29464,0.0132556065,0.7458145828
D. opalescens,CDFW,1,,MID MONTEREY BAY,5,1,116.08,41.4077,9.3917,0.7731895276,0.5786,0.01397324652,8.8131,8.29464,0.0132556065,0.7871627741
D. opalescens,CDFW,1,6/28/2022,MOSS LANDING,1,1,101.09,27.459,9.5962,0.6505262391,0.5884,0.0214283113,9.0078,6.04874,0.01616233359,0.6719545504
D. opalescens,CDFW,1,6/28/2022,MOSS LANDING,2,1,108.23,37.2789,5.9099,0.8414679618,0.598,0.01604124585,5.3119,6.04874,0.01616233359,0.8575092076
D. opalescens,CDFW,1,6/28/2022,MOSS LANDING,3,1,97.89,18.836,4.031,0.7859949034,0.3302,0.0175302612,3.7008,6.04874,0.01616233359,0.8035251646
D. opalescens,CDFW,1,6/28/2022,MOSS LANDING,4,1,96.7,21.8066,5.1617,0.7632964332,0.2559,0.01173497932,4.9058,6.04874,0.01616233359,0.7750314125
D. opalescens,CDFW,1,6/28/2022,MOSS LANDING,5,1,107.74,29.14,7.7276,0.734811256,0.4102,0.01407687028,7.3174,6.04874,0.01616233359,0.7488881263
D. opalescens,CDFW,1,6/28/2022,PT. PIÑOS,1,1,105.55,30.7326,6.0899,0.8018423433,0.4402,0.01432355219,5.6497,6.29025,0.01285082062,0.8161658955
D. opalescens,CDFW,1,6/28/2022,PT. PIÑOS,2,1,110.95,35.0674,7.3298,0.7909796563,0.399,0.01137808905,6.9308,6.29025,0.01285082062,0.8023577454
D. opalescens,CDFW,1,7/12/2022,MOSS LANDING,1,1,104.49,27.4924,6.7802,0.7533791157,0.4331,0.01575344459,6.3471,6.4924,0.01399123777,0.7691325603
D. opalescens,CDFW,1,7/12/2022,MOSS LANDING,2,1,112.85,29.9942,7.0045,0.7664715178,0.3668,0.01222903095,6.6377,6.4924,0.01399123777,0.7787005488
D. opalescens,CDFW,1,5/18/2022,PT. PIÑOS,1,1,120.43,31.0234,6.0023,0.8065234629,0.399,0.01286125957,5.6033,4.65955,0.01254326043,0.8193847225
D. opalescens,CDFW,1,5/18/2022,PT. PIÑOS,2,1,101.2,23.5087,4.0032,0.8297141058,0.2874,0.01222526129,3.7158,4.65955,0.01254326043,0.8419393671
D. opalescens,CDFW,1,6/29/2022,MOSS LANDING,1,1,90.55,17.8856,4.5569,0.745219618,0.2278,0.01273650311,4.3291,5.33405,0.01334614021,0.7579561211
D. opalescens,CDFW,1,6/29/2022,MOSS LANDING,2,1,150.67,32.3092,6.7899,0.7898462357,0.4509,0.0139557773,6.339,5.33405,0.01334614021,0.803802013
D. opalescens,CDFW,1,7/6/2022,PT. PIÑOS,1,1,112.33,45.6687,9.9504,0.7821177305,0.556,0.0121746404,9.3944,8.78415,0.01254736569,0.7942923709
D. opalescens,CDFW,1,7/6/2022,PT. PIÑOS,2,1,108.67,38.5601,8.6721,0.7751017243,0.4982,0.01292009097,8.1739,8.78415,0.01254736569,0.7880218153